Your Name,Organization Name,Type of organization,Website URL,Contact name,Email of contact,Area of activity,Revenue,Number of employees,Countries served or impacted by the services of the organization (not necessarily where the org is located),Done? (Y/N),Comments
CP,The Refuge Foundation,Nonprofit organization,http://www.refugefoundation.org/,N/A,N/A,Leadership development,N/A,N/A,N/A,Y,Refuge Foundation serves leaders of churches and nonprofits. They provide renewal and revitalization through outdoor experiences.
CP,Family Planning - Le Planning Familial,Non-governmental organization,N/A,N/A,N/A,Sexual health,N/A,N/A,"France, Guadeloupe",Y,"Defends rights to education in sexuality, contraception, and abortion. Fights against violence."
CP,Tròp Violans 973,Nonprofit organization,https://www.facebook.com/tropviolansofficiel/?locale=eu_ES,N/A,N/A,Violence prevention,N/A,N/A,French Guiana,Y,"Association aims to prevent and combat all forms of violence. Located in Cayenne, French Guiana."
CP,Natural Space Conservatories,Nonprofit,https://archive.eurosite.org/eurosite-network/members/natural-spaces-conservatories-conservatoires-despaces-naturels/,N/A,N/A,Site management,N/A,N/A,N/A,Y,"Network of natural site managers. Brings together governmental, non-governmental organizations, and individuals."
CP,PAG - Animal Protection Of Guyana,Animal charity,N/A,N/A,N/A,Animal welfare,N/A,N/A,French Guiana,Y,"Animal welfare and rescue in Cayenne, French Guiana. Charity focuses on animal protection."
CP,WWF Guyana,International NGO,https://www.wwfguianas.org/,N/A,N/A,Forest Protection,N/A,N/A,"Guyana, Suriname, French Guiana",Y,WWF Guyana is a nonprofit environmental organization. It focuses on wildlife and forest protection in the Guianas.
CP,Guyane Nature Environnement,Environmental Nonprofit,https://federation-gne.fr/,N/A,N/A,Environmental protection,N/A,2-10,French Guiana,Y,Federation of Guianese associations. Focus on environmental protection and building a sustainable future in French Guiana.
CP,Doggy Oasis International Guyane,Nonprofit Organization,https://www.doggyoasis.org/en/,N/A,N/A,Animal welfare,N/A,2-10,French Guiana,Y,"Cares for stray, abused, and abandoned dogs in French Guiana. The organization aims to raise awareness about the value of these animals."
CP,Guyane Unissons-nous - Guyana Let's Unite,Nonprofit,https://www.instagram.com/guyane_unissons_nous/,N/A,N/A,Humanitarian aid,N/A,N/A,French Guiana,Y,Humanitarian and charitable association. Fights against all forms of exclusion of the Guyanese people.
CP,Shalom French Guiana Community,Religious organization,N/A,N/A,N/A,Religion,N/A,N/A,French Guiana,Y,Charity/NGO based in Cayenne. Focuses on Christianity.
CP,AGAV - CIDFF Guyane,Nonprofit,N/A,N/A,N/A,Victim support,N/A,N/A,French Guiana,Y,"Association guarantees access to law, protection, and support. Focuses on victim support and justice."
CP,Association Sepanguy,Nonprofit organization,https://sepanguy.fr/,N/A,N/A,Nature protection,N/A,N/A,French Guiana,Y,The organization is focused on nature protection and environmental education. They run educational workshops and awareness activities.
CP,Atipa Autisme,Nonprofit Organization,https://www.atipa.fr/,N/A,N/A,Autism support,N/A,N/A,France,Y,"Association for the inclusion of children, adolescents, and adults with autism. Aims to facilitate school and social inclusion."
CP,Catholic Relief Of Guyana,International NGO,https://www.crs.org/,N/A,N/A,Humanitarian aid,N/A,N/A,"Guyana, USA",Y,CRS provides aid to the poor and disadvantaged outside the U.S. Offers emergency response and supports vulnerable communities.
CP,Initiative Guyane,Nonprofit,N/A,N/A,N/A,Economic development,N/A,N/A,France,Y,Favors the emergence of viable business creation projects. Operates as a local initiative platform.
CP,Kaz'Avenir LGBT,Nonprofit organization,https://www.facebook.com/KazAvenir/,N/A,lgbt@gmail.com,LGBTQ+ support,N/A,N/A,France (Guyane),Y,Provides solidarity and support to individuals facing LGBTphobia. Aims to create community connections.
CP,K-Patrie Solidarity And Social Association,Nonprofit,N/A,N/A,N/A,Social Aid,N/A,N/A,N/A,Y,Organization focuses on solidarity and social support. It promotes mutual aid for mobilization.
CP,Melissa Association,Nonprofit organization,https://melissainstitute.org/,N/A,N/A,Violence prevention,N/A,N/A,N/A,Y,Promotes research-based solutions to prevent violence.
CP,RefugiÉduque,Nonprofit,https://www.facebook.com/61555192049332/,N/A,N/A,Humanitarian aid,$71.8k,N/A,France,Y,Helps refugees rebuild their lives in France. Provides humanitarian support.
CP,CERATO,Nonprofit organization,https://www.sobrato.com/,N/A,N/A,Human services,N/A,51-200,N/A,Y,"Focuses on education, career pathways, and essential human services. Aims to build a more equitable and sustainable world."
