name,website
The Refuge Foundation,https://le-refuge.org/
Family Planning - Le Planning Familial,https://www.planning-familial.org/fr
Tròp Violans 973,
Natural Space Conservatories,https://reseau-cen.org/annuaire/conservatoire-despaces-naturels-guyane/
PAG - Animal Protection Of Guyana,
WWF Guyana,https://www.wwf.fr/espaces-prioritaires/guyane
Guyane Nature Environnement,https://federation-gne.fr/
Doggy Oasis International Guyane,https://www.doggyoasis.org/
Guyane Unissons-nous - Guyana Let's Unite,
Shalom French Guiana Community,https://comshalom.org/fr/
AGAV - CIDFF Guyane,https://www.agav973.fr/
Association Sepanguy,https://sepanguy.fr/
Atipa Autisme,https://www.atipa.fr/
Catholic Relief Of Guyana,https://guyane.secours-catholique.org/
Initiative Guyane,https://www.initiative-guyane.fr/
Kaz'Avenir LGBT,
K-Patrie Solidarity And Social Association,https://www.association-solidaire-et-social-k-patrie.com/
Melissa Association,https://associationmelisse.org/
RefugiÉduque,https://gratuit-4374273.webador.fr/
CERATO,https://cerato-guyane.com/
